,variable,Créditos Atrasados / Créditos Directos,Créditos Directos / Personal ( S/. Miles ),Créditos Refinanciados y Reestructurados / Créditos Directos,Depósitos / Número de Oficinas ( S/. Miles ),Gastos de Administración Anualizado / Activo Productivo Promedio ,Gastos de Operación / Margen Financiero Total,Ingresos Financieros / Ingresos Totales,Ingresos Financieros Anualizados / Activo Productivo Promedio ,Pasivo Total / Capital Social y Reservas ( N° de veces ),Provisiones / Créditos Atrasados ,Ratio de Capital Global,Ratio de Liquidez M.E. (Promedio de saldos del mes),Ratio de Liquidez M.N. (Promedio de saldos del mes),Utilidad Anualizada / Activo Promedio,Utilidad Anualizada / Patrimonio Promedio,Periodo,mes
38,Financiera.Nueva.Visión.,6.14,572,1.15,0,13.99,79.42,99.93,27.59,6,170.97,15.43,140.05,9.09,-1.15,-7.57,2014,Marzo
39,Total Empresas Financieras,5.6,605,1.22,6333.58,13.1,60.34,94.69,26.57,6.83,147.92,17.47,84.75,31.49,1.69,11.15,2014,Marzo
40,CrediScotia,7.66,963,2.16,21403.68,12.74,50.89,89.04,27.03,8.14,162.1,17.6,82.4,27.66,1.96,13.48,2014,Abril
41,TFC,5.05,895,3.35,14380.67,12.2,113.77,95.07,19.88,5.73,99.01,12.94,53.5,35.53,-1.69,-10.63,2014,Abril
42,Edyficar,3.95,607,0.38,8451.79,9.23,57.62,99.01,22.27,11.19,163.88,16.64,77.84,38.54,3.32,27.83,2014,Abril
43,Compartamos Financiera,6.2,459,0.46,3002.26,13.72,61.54,100,29.83,7.83,123.89,14.54,30.77,17.49,2.33,18.91,2014,Abril
44,Confianza,3.41,585,0.86,5636.02,14.32,76.54,96.11,25.47,6.56,138.3,17.21,57.61,27.61,-0.15,-0.98,2014,Abril
45,Financiera Efectiva,4.24,272,0,865.86,26.19,58.54,98.01,54.27,3.64,200.32,18.56,0,51.63,5.02,21.08,2014,Abril
46,Financiera Universal,6.25,422,2.51,7499.22,15.02,82.24,91.53,26.54,4.43,129.22,17.12,79.78,26.1,-0.89,-5.24,2014,Abril
47,Financiera Uno,6.01,293,3.09,1802.98,46.9,73.39,92.16,54.07,1.73,169.61,31.59,49.25,12.59,-8.78,-21.43,2014,Abril
48,America Financiera,0,0,0,0,12.62,270.77,99.51,4.56,0.26,0,127.81,0,0,-5.28,-6.59,2014,Abril
