"","variable","Créditos Atrasados / Créditos Directos","Créditos Refinanciados y Reestructurados / Créditos Directos","Gastos de Operación / Margen Financiero Total","Periodo","mes","mes2"
"68","Total Empresas Financieras",4.5,1.64,58.91,"2009","Diciembre","2009-12-31"
"69","CrediScotia",4.43,2.78,47.68,"2010","Enero","2010-01-31"
"70","Solución Financiera de Crédito",0.61,0.01,4.48,"2010","Enero","2010-01-31"
"71","TFC",6.03,2.49,49.76,"2010","Enero","2010-01-31"
"72","Edyficar",4.21,0.44,51.19,"2010","Enero","2010-01-31"
"73","Compartamos Financiera",4.37,0.08,48.71,"2010","Enero","2010-01-31"
"74","Confianza",5.19,0.64,47.98,"2010","Enero","2010-01-31"
"75","Financiera Universal",0,0,-236.33,"2010","Enero","2010-01-31"
"76","Total Empresas Financieras",4.36,1.72,49.11,"2010","Enero","2010-01-31"
"77","CrediScotia",4.26,2.78,50.16,"2010","Febrero","2010-02-28"
"78","Solución Financiera de Crédito",0.41,0.01,4.53,"2010","Febrero","2010-02-28"
"79","TFC",5.94,2.45,51.66,"2010","Febrero","2010-02-28"
"80","Edyficar",4.23,0.46,54.03,"2010","Febrero","2010-02-28"
"81","Compartamos Financiera",4.73,0.07,51.26,"2010","Febrero","2010-02-28"
"82","Confianza",5.46,0.61,57.61,"2010","Febrero","2010-02-28"
"83","Financiera Universal",0,0,-594.4,"2010","Febrero","2010-02-28"
"84","Total Empresas Financieras",4.33,1.71,52.09,"2010","Febrero","2010-02-28"
"85","CrediScotia",4.24,2.72,50.83,"2010","Marzo","2010-03-31"
"86","Solución Financiera de Crédito",0.75,0.01,3.85,"2010","Marzo","2010-03-31"
"87","TFC",5.81,2.3,51.53,"2010","Marzo","2010-03-31"
"88","Edyficar",4.35,0.48,54.95,"2010","Marzo","2010-03-31"
"89","Compartamos Financiera",4.79,0.06,49.07,"2010","Marzo","2010-03-31"
"90","Confianza",5.42,0.61,57.17,"2010","Marzo","2010-03-31"
"91","Financiera Universal",0,0,-1321.97,"2010","Marzo","2010-03-31"
"92","Financiera Uno",0,0,2952.17,"2010","Marzo","2010-03-31"
"93","Total Empresas Financieras",4.35,1.67,52.91,"2010","Marzo","2010-03-31"
"94","CrediScotia",4.3,2.65,52.05,"2010","Abril","2010-04-30"
"95","Solución Financiera de Crédito",0.73,0.01,3.94,"2010","Abril","2010-04-30"
"96","TFC",5.47,3.28,52.82,"2010","Abril","2010-04-30"
"97","Edyficar",4.55,0.5,54.8,"2010","Abril","2010-04-30"
"98","Compartamos Financiera",5.36,0.06,48.42,"2010","Abril","2010-04-30"
"99","Confianza",5.91,0.61,56.91,"2010","Abril","2010-04-30"
"100","Financiera Efectiva",3.76,0,62.4,"2010","Abril","2010-04-30"
"101","Financiera Universal",0,0,31660,"2010","Abril","2010-04-30"
"102","Financiera Uno",0,0,2768.33,"2010","Abril","2010-04-30"
"103","Total Empresas Financieras",4.48,1.65,54.34,"2010","Abril","2010-04-30"
"104","CrediScotia",4.45,2.5,51.44,"2010","Mayo","2010-05-31"
"105","Solución Financiera de Crédito",0.86,0.01,4.09,"2010","Mayo","2010-05-31"
"106","TFC",5.45,2.69,52.89,"2010","Mayo","2010-05-31"
"107","Edyficar",4.43,0.51,55.16,"2010","Mayo","2010-05-31"
"108","Compartamos Financiera",5.64,0.07,46.86,"2010","Mayo","2010-05-31"
"109","Confianza",6.53,0.7,60.01,"2010","Mayo","2010-05-31"
"110","Financiera Efectiva",3.96,0,63.68,"2010","Mayo","2010-05-31"
"111","Financiera Universal",0.11,0,2513.5,"2010","Mayo","2010-05-31"
"112","Financiera Uno",0.09,0,1620.96,"2010","Mayo","2010-05-31"
"113","America Financiera",0.93,2.31,70.93,"2010","Mayo","2010-05-31"
"114","Total Empresas Financieras",4.23,1.63,55.02,"2010","Mayo","2010-05-31"
"115","CrediScotia",4.34,2.39,51.98,"2010","Junio","2010-06-30"
"116","TFC",5.59,2.31,54.34,"2010","Junio","2010-06-30"
"117","Edyficar",4.6,0.54,55.16,"2010","Junio","2010-06-30"
"118","Compartamos Financiera",5.86,0.06,46.08,"2010","Junio","2010-06-30"
"119","Confianza",6.33,0.9,61.55,"2010","Junio","2010-06-30"
"120","Financiera Efectiva",3.69,0,63.93,"2010","Junio","2010-06-30"
"121","Financiera Universal",0.62,0,1748.33,"2010","Junio","2010-06-30"
"122","Financiera Uno",0.29,0,897.41,"2010","Junio","2010-06-30"
"123","America Financiera",0.86,2.13,72.36,"2010","Junio","2010-06-30"
"124","Total Empresas Financieras",4.34,1.62,56.02,"2010","Junio","2010-06-30"
"125","CrediScotia",4.2,2.27,52.16,"2010","Julio","2010-07-31"
"126","TFC",5,2,52.62,"2010","Julio","2010-07-31"
"127","Edyficar",4.41,0.57,56.02,"2010","Julio","2010-07-31"
"128","Compartamos Financiera",6.24,0.06,45.62,"2010","Julio","2010-07-31"
"129","Confianza",6.17,0.98,62.81,"2010","Julio","2010-07-31"
"130","Financiera Efectiva",3.72,0,63.62,"2010","Julio","2010-07-31"
"131","Financiera Universal",0.64,0,1128.41,"2010","Julio","2010-07-31"
"132","Financiera Uno",0.76,0,555.13,"2010","Julio","2010-07-31"
"133","America Financiera",2.55,2.11,73.12,"2010","Julio","2010-07-31"
"134","Total Empresas Financieras",4.39,1.56,56.28,"2010","Julio","2010-07-31"
"135","CrediScotia",3.97,2.21,51.85,"2010","Agosto","2010-08-31"
"136","TFC",5.87,1.17,53,"2010","Agosto","2010-08-31"
"137","Edyficar",4.55,0.56,56.17,"2010","Agosto","2010-08-31"
"138","Compartamos Financiera",6.76,0.06,45.06,"2010","Agosto","2010-08-31"
"139","Confianza",6.24,0.99,63.31,"2010","Agosto","2010-08-31"
"140","Financiera Efectiva",3.67,0,63.64,"2010","Agosto","2010-08-31"
"141","Financiera Universal",0.85,0,901.4,"2010","Agosto","2010-08-31"
"142","Financiera Uno",2.37,0,414.99,"2010","Agosto","2010-08-31"
"143","America Financiera",2.15,1.95,73.39,"2010","Agosto","2010-08-31"
"144","Total Empresas Financieras",4.38,1.46,56.18,"2010","Agosto","2010-08-31"
"145","CrediScotia",3.76,2.16,51.92,"2010","Septiembre","2010-09-30"
"146","TFC",6.5,1.08,53.14,"2010","Septiembre","2010-09-30"
"147","Edyficar",4.19,0.55,56.34,"2010","Septiembre","2010-09-30"
"148","Compartamos Financiera",6.64,0.07,45.13,"2010","Septiembre","2010-09-30"
"149","Confianza",6,1.08,64.36,"2010","Septiembre","2010-09-30"
"150","Financiera Efectiva",3.74,0,64.05,"2010","Septiembre","2010-09-30"
"151","Financiera Universal",1.11,0,739.49,"2010","Septiembre","2010-09-30"
"152","Financiera Uno",3.67,0,331.43,"2010","Septiembre","2010-09-30"
"153","America Financiera",2.1,1.69,75.4,"2010","Septiembre","2010-09-30"
