"","variable","Periodo","mes","Adeudos / Pasivo Total (%)","Cartera de Alto Riesgo / Créditos Directos (%)","Créditos Atrasados / Créditos Directos (%)","Créditos Atrasados M.E. / Créditos Directos M.E. (%)","Créditos Atrasados M.N. / Créditos Directos M.N. (%)","Créditos Directos / Empleados (Miles S/.)","Créditos Directos / Número de Oficinas (Miles S/.)","Depósitos/ Créditos Directos (%)","Gastos de Administración Anualizados/ Créditos Directos e Indirectos Promedio (%)","Gastos de Operación Anualizados / Margen Financiero Total Anualizado(%)","Ingresos Financieros Anualizados / Activo Productivo Promedio (%)","Pasivo Total / Capital Social y Reservas ( Nº de veces )","Posición Global en M.E. / Patrimonio Efectivo ( %)","Provisiones / Créditos Atrasados (%)","Ratio de Capital Global","Ratio de Liquidez en M.E. (%) (promedio del mes)","Ratio de Liquidez en M.N. (%) (promedio del mes)","Utilidad Neta Anualizada sobre Activo Promedio (%)","Ratio de Capital Global"
"28","Total.CMAC","2014","Febrero",4.82,8.06,6.34,4.42,6.49,917.74,20341.69,102.2,9.62,61.09,18.98,7.67,-0.1,133.76,14.9,66.77,37.15,1.79,13.69
"29","CMCP.Lima","2014","Febrero",12.72,16,12.82,12.9,12.8,1042.9,12336.74,122.31,10.83,78.57,16.21,7.16,-1.83,83.2,13.89,144.95,63.11,-0.42,-3.35
"30","Total.CM","2014","Febrero",5.24,8.38,6.6,5.16,6.72,922.23,19819.91,103.02,9.68,61.86,18.82,7.64,-0.17,129.78,14.86,70.89,38.34,1.66,12.73
"31","CMAC.Arequipa","2014","Marzo",4.51,7.59,6.55,3.72,6.85,995.17,25182.17,96.35,8.28,54.41,19.94,9.52,-1.01,145.97,14.69,49.61,28.86,2.28,19.49
"32","CMAC.Cusco","2014","Marzo",1.99,6.14,4.94,7.24,4.77,1111.11,21958.49,93.74,7.82,56.52,17.23,5.43,-0.25,125.01,15.71,52.23,23.31,2.84,16.64
"33","CMAC.Del.Santa","2014","Marzo",0.95,20.48,16.84,33.93,16.18,610.29,12487.41,118.11,12.88,78.49,20.39,6.93,7.53,106.08,13.18,81.86,44.31,0.2,1.82
"34","CMAC.Huancayo","2014","Marzo",7.32,4.48,3.74,2.29,3.8,1009.06,19864.85,91.93,9.77,60.4,18.74,6.9,-0.62,155.15,15.22,89.54,44.17,2.83,20.11
"35","CMAC.Ica","2014","Marzo",4.2,9.04,8.23,5.68,8.28,814.78,17410.49,112.56,9.57,62.88,18.46,8.67,3.94,126.16,14.49,131.53,52.59,1.09,10
"36","CMAC.Maynas","2014","Marzo",7.85,11.21,7.96,7.11,8.04,695.23,22495.81,105.45,10.69,68.29,19.85,7.25,-0.34,126.13,15.66,139.95,57.16,0.72,5.59
"37","CMAC.Paita","2014","Marzo",0.15,16.47,12.9,4.04,12.95,654.3,14347.79,103.84,11.82,77.73,22.18,6.44,-1.3,94.96,11.05,101.95,30.57,-0.29,-2.44
"38","CMAC.Pisco","2014","Marzo",0,11.94,9.65,84.49,8.92,439.4,9139.53,117.12,20.08,90.61,28.98,11.6,-1.41,109.36,11.18,112.9,24.63,-3.36,-32.97
"39","CMAC.Piura","2014","Marzo",1.81,8.85,6.51,3.73,6.8,840.67,17521.73,115.98,11.25,67.9,18.68,9.35,0.46,116.3,13.4,89.66,38.28,1.45,13.25
"40","CMAC.Sullana","2014","Marzo",7.01,9.32,6.32,5.7,6.35,892.46,17472.19,99.62,10.24,59.56,20.22,7.1,-0.35,136.43,13.83,84.18,34.9,1.26,10.01
"41","CMAC.Tacna","2014","Marzo",10.95,8.02,6.96,4.06,7.47,1042.5,25987.98,86.32,8.5,63.35,18.12,7.74,-0.06,117.8,16,39.97,26.07,0.84,6.22
"42","CMAC Trujillo","2014","Marzo",5.17,8.81,6.4,8.95,6.32,818.44,21252.61,107.07,10.93,63.3,17.87,5.38,-0.13,150.09,17.85,67.2,50.97,1.59,9.7
"43","Total.CMAC","2014","Marzo",4.72,8.14,6.43,4.85,6.55,909.87,20345.42,101.17,9.61,61.06,18.97,7.45,-0.06,132.41,14.93,69.35,36.57,1.78,13.6
"44","CMCP.Lima","2014","Marzo",12.91,15.35,12.41,12.39,12.41,1032.98,12295.03,119.31,11.09,79.01,16.08,7,0.27,85.38,13.64,65.42,79.9,-0.42,-3.37
"45","Total.CM","2014","Marzo",5.15,8.43,6.67,5.51,6.76,914.24,19824.81,101.9,9.68,61.85,18.81,7.42,-0.04,128.91,14.87,69.14,38.49,1.65,12.67
"46","CMAC.Arequipa","2014","Abril",4.79,8.05,6.98,4.34,7.26,990.96,25273.74,96.75,8.25,54.08,19.97,9.6,-0.87,142.79,14.73,53.55,28.04,2.32,19.71
"47","CMAC.Cusco","2014","Abril",1.74,6.21,5,7.28,4.83,1097.78,21791,94.82,7.79,56.87,17.24,5.49,-0.72,126.28,15.66,52.35,22.67,2.79,16.44
"48","CMAC.Del.Santa","2014","Abril",0.97,20.4,16.92,34.46,16.22,632.22,12693.01,114.9,12.93,78.31,20.44,7.76,2.8,105.99,13.3,78.7,42.39,0.35,3.13
"49","CMAC.Huancayo","2014","Abril",7.43,4.64,3.92,3.38,3.94,993.21,19776.58,92.34,9.76,60.64,18.65,6.86,-0.51,152.32,15.24,88.17,44.33,2.79,19.9
"50","CMAC.Ica","2014","Abril",4.44,9.48,8.69,5.64,8.76,925,17331.54,110.96,9.61,62.57,18.49,8.54,4.03,124.35,14.53,92.68,51.88,1.1,9.98
"51","CMAC.Maynas","2014","Abril",7.94,11.83,8.66,8.93,8.64,638.84,22268.12,104.95,10.71,68.27,19.69,6.72,-1.8,122.1,15.93,154.85,54.22,0.67,5.21
"52","CMAC.Paita","2014","Abril",0.15,17.08,13.38,4.18,13.43,664.53,14144.93,104.43,12,77.18,22.46,6.37,-1.72,97.4,11.32,115.38,30.06,-0.24,-2.01
"53","CMAC.Pisco","2014","Abril",0,11.94,9.65,84.49,8.92,439.4,9139.53,117.12,20.08,90.61,28.98,11.6,2.55,109.36,11.18,112.9,24.63,-3.36,-32.97
"54","CMAC.Piura","2014","Abril",1.81,9.16,6.53,2.66,6.94,857.49,17776.99,113.96,11.16,67.25,18.62,8.41,-0.27,118.82,13.67,88.15,36.48,1.41,12.89
"55","CMAC.Sullana","2014","Abril",7.12,9.29,6.24,5.01,6.3,901.54,17916.47,96.5,10.14,58.62,20.26,7.07,-0.04,140.31,13.97,86.25,29.36,1.32,10.47
"56","CMAC.Tacna","2014","Abril",8.83,8.42,7.45,4.02,8.05,1032.86,24895.5,86.1,8.4,62.47,18.2,7.48,-1.04,113.04,15.96,35.45,25.52,0.73,5.48
"57","CMAC Trujillo","2014","Abril",5.14,9.19,6.86,9.89,6.77,827.42,21377.18,106.69,10.93,63.38,17.84,5.39,0.01,146.08,18.21,71.44,48.01,1.45,8.79
"58","Total.CMAC","2014","Abril",4.67,8.43,6.68,4.91,6.81,916.31,20395.63,100.61,9.57,60.76,18.96,7.32,-0.25,131.61,15.05,69.21,34.89,1.76,13.44
"59","CMCP.Lima","2014","Abril",12.85,15.27,12.51,13.65,12.3,1053.64,12167.02,115.11,11.35,81.54,15.85,6.95,0.02,83.69,13.19,67.53,78.91,-0.62,-5.06
"60","Total.CM","2014","Abril",5.09,8.7,6.92,5.67,7.01,921.16,19853.94,101.19,9.65,61.64,18.79,7.3,-0.24,128.11,14.96,69.12,36.77,1.62,12.44
"61","CMAC.Arequipa","2014","Mayo",5,8.23,7.14,3.93,7.46,963.87,25027.28,98.54,8.35,54.61,20,9.77,-0.54,142.22,14.77,52.98,30.05,2.22,18.99
"62","CMAC.Cusco","2014","Mayo",1.71,6.19,5.03,7.09,4.88,1116.03,22097.32,95.53,7.73,56.88,17.3,5.59,-0.11,126.3,15.51,53.59,23.01,2.84,16.81
"63","CMAC.Del.Santa","2014","Mayo",0.97,21.15,17.08,35.18,16.38,636.27,12627.59,114.79,13,78.1,20.49,7.69,2.95,108.11,13.32,57.83,42.43,0.54,4.87
"64","CMAC.Huancayo","2014","Mayo",7.25,4.67,3.96,3.18,3.98,990.24,19847.76,93.63,9.79,60.76,18.61,6.76,-0.67,152.87,15.16,88.08,45.85,2.75,19.71
"65","CMAC.Ica","2014","Mayo",4.49,9.65,8.86,5.16,8.95,872.43,17872.97,112.18,9.68,62.62,18.46,8.69,2.46,124.17,14.47,85,54.11,1.16,10.5
"66","CMAC.Maynas","2014","Mayo",6.54,11.24,8.85,8.75,8.86,633.21,20727.12,106.45,10.75,68.54,19.62,6.69,-1.42,125.3,16.15,172.08,55.13,0.62,4.83
"67","CMAC.Paita","2014","Mayo",0.15,17.49,13.77,4.72,13.83,649.68,14107.33,104.32,12.08,77.44,22.51,6.34,-3.16,96.67,11.56,108.22,31.26,-0.23,-1.9
"68","CMAC.Piura","2014","Mayo",1.79,9.65,6.84,5.76,6.94,863.21,17699.72,114.67,11.08,66.74,18.55,8.47,-1.09,117.52,13.71,87.78,37.08,1.38,12.64
"69","CMAC.Sullana","2014","Mayo",5.47,9.89,7.13,6.78,7.14,897.12,18359.43,97.53,10.11,58.38,20.37,7.22,-0.85,127.29,13.69,91.79,30.56,1.34,10.59
"70","CMAC.Tacna","2014","Mayo",8.62,8.89,7.81,4.1,8.44,1012.64,24966.89,87.18,8.28,61.15,18.34,7.56,-0.61,113.77,15.58,34.58,24.91,0.74,5.55
"71","CMAC Trujillo","2014","Mayo",4.92,9.55,7.2,9.81,7.12,828.24,21357.68,109.25,10.93,63.28,17.81,5.5,0.03,144.6,18.23,75.6,48.34,1.49,9.03
"72","Total.CMAC","2014","Mayo",4.47,8.67,6.93,5.47,7.03,911.89,20525.28,101.83,9.57,60.72,18.97,7.39,-0.4,130.1,15.01,69.2,35.9,1.75,13.38
"73","CMCP.Lima","2014","Mayo",12.64,14.53,11.5,14.19,11.04,1033.29,12153.44,117.49,11.48,81.68,15.8,6.98,1.32,80.33,12.85,66.3,78.13,-0.58,-4.7
"74","Total.CM","2014","Mayo",4.89,8.9,7.11,6.21,7.18,916.22,19972.42,102.46,9.66,61.59,18.8,7.37,-0.32,126.87,14.91,69.06,37.69,1.62,12.42
"75","(all)","2014","Mayo",4.92,10.62,8.52,8.6,8.52,880.31,19095.87,103.99,10.18,65.18,18.97,7.29,-0.17,122.58,14.64,79.44,41.03,1.26,9.48
"76","CMAC.Arequipa","2014","Junio",4.92,7.96,6.77,4.14,7.04,964.32,24717.83,98.71,8.42,55.05,20.02,8.55,-0.78,146.22,14.84,51.3,30.66,2.12,18.23
"77","CMAC.Cusco","2014","Junio",0.81,5.87,4.64,7.07,4.46,1083.21,22332.2,96.36,7.58,56.41,17.31,5.62,0.3,132.64,15.54,58.22,23.5,2.8,16.65
"78","CMAC.Del.Santa","2014","Junio",0.91,21.26,17.15,36.14,16.46,614.65,12529.38,113.09,13.12,78.31,20.58,7.52,0.61,108.18,13.4,58.85,40.55,0.49,4.39
"79","CMAC.Huancayo","2014","Junio",7.36,4.59,3.89,2.27,3.94,981.43,20154.86,91.84,9.78,60.66,18.6,6.71,-0.31,152.72,15.26,81.07,44.56,2.72,19.52
"80","CMAC.Ica","2014","Junio",4.86,9.89,9.13,4.66,9.23,854.84,17697.47,110.47,9.82,62.98,18.46,8.53,0.46,124.68,14.31,90.94,56.38,1.2,10.72
"81","CMAC.Maynas","2014","Junio",6.5,10.89,8.48,7.87,8.53,625.57,20476.87,106.73,10.84,68.56,19.64,6.64,0.22,123.15,16.22,188.26,51.12,0.58,4.52
"82","CMAC.Paita","2014","Junio",0.1,14.62,10.58,3.33,10.64,622.12,13553.44,106.83,12.35,78.59,22.65,8.06,-3.76,135.31,14.42,97.31,29.66,-0.23,-1.84
