"","variables","R. Cr�dito","R. Mercado","R. Operacional","Total","Patrimonio Efectivo","R. Capital Global","Periodo","Mes","Fecha"
"253","B. Azteca Perú",67725.43,53.09,16944.63,84723.15,104670.11,12.35,"2014","Marzo",2014-03-31
"254","Deutsche Bank Perú",57497.42,10798.54,5484.72,73780.68,170629.95,23.13,"2014","Marzo",2014-03-31
"255","B. Cencosud",38640.42,26.38,9666.7,48333.5,167675.86,34.69,"2014","Marzo",2014-03-31
"256","B. ICBC",3395.11,5160.82,109.05,8664.98,119775.5,138.23,"2014","Marzo",2014-03-31
"257"," TOTAL BANCA MÚLTIPLE",20721566.23,390169.04,1304030.91,22415766.18,32207058.38,14.368,"2014","Marzo",2014-03-31
"258","B. Continental",4460893.16,97031.73,244499.83,4802424.72,6218674.75,12.95,"2014","Abril",2014-04-30
"259","B. de Comercio  ",152320.07,60.31,5857.74,158238.12,192200.34,12.15,"2014","Abril",2014-04-30
"260","B. de Crédito del Perú (con sucursales en el exterior)",6995715.66,131688.03,508412.08,7635815.77,11475252.23,15.03,"2014","Abril",2014-04-30
"261","B. Financiero",598585.41,7336.93,23988.97,629911.31,743863.07,11.81,"2014","Abril",2014-04-30
"262","B. Interamericano de Finanzas",777363.94,866.97,45717.05,823947.96,1048707.77,12.73,"2014","Abril",2014-04-30
"263","Scotiabank Perú (con sucursales en el exterior)",3372559,36277.37,171494.47,3580330.84,4740683.3,13.24,"2014","Abril",2014-04-30
"264","Citibank",379641.69,31062,51666.16,462369.85,721805.95,15.61,"2014","Abril",2014-04-30
"265","Interbank (con sucursales en el exterior)",2551566.64,28558.39,137103.41,2717228.44,4457298.55,16.4,"2014","Abril",2014-04-30
"266","Mibanco",431427.3,3109.68,23218.29,457755.27,761616.31,16.64,"2014","Abril",2014-04-30
"267","B. GNB",360799.6,500.87,26814.9,388115.37,515206.92,13.27,"2014","Abril",2014-04-30
"268","B. Falabella Perú ",261465.05,1084.01,18656.02,281205.08,461004.24,16.39,"2014","Abril",2014-04-30
"269","B. Santander Perú",248629.12,1686.59,9591.25,259906.96,408562.72,15.72,"2014","Abril",2014-04-30
"270","B. Ripley",130038.91,1358.48,18875.05,150272.44,234451.3,15.6,"2014","Abril",2014-04-30
"271","B. Azteca Perú",66211.3,84.21,16573.88,82869.39,110423.84,13.33,"2014","Abril",2014-04-30
"272","Deutsche Bank Perú",28926.69,8024,5547.19,42497.88,170629.95,40.15,"2014","Abril",2014-04-30
"273","B. Cencosud",38271.82,119,9597.7,47988.52,167233.68,34.85,"2014","Abril",2014-04-30
"274","B. ICBC",4500.44,5159.81,141.08,9801.33,118763.92,121.17,"2014","Abril",2014-04-30
"275"," TOTAL BANCA MÚLTIPLE",20858915.8,354008.38,1317755.07,22530679.25,32546378.84,14.4454,"2014","Abril",2014-04-30
"276","B. Continental",4448022.93,76698.75,247391.82,4772113.5,6193649.62,12.98,"2014","Mayo",2014-05-31
"277","B. de Comercio  ",152750.89,68.54,5886.4,158705.83,193076.3,12.17,"2014","Mayo",2014-05-31
"278","B. de Crédito del Perú (con sucursales en el exterior)",7006477.04,103113.63,514479.05,7624069.72,11396180.87,14.95,"2014","Mayo",2014-05-31
"279","B. Financiero",596970.64,7947.69,24322.61,629240.94,746814.05,11.87,"2014","Mayo",2014-05-31
"280","B. Interamericano de Finanzas",788551.1,1077.73,46576.43,836205.26,1044429.61,12.49,"2014","Mayo",2014-05-31
"281","Scotiabank Perú (con sucursales en el exterior)",3415537.87,41240.12,173214.51,3629992.5,4710279.22,12.98,"2014","Mayo",2014-05-31
"282","Citibank",367896.07,33157.37,52095.9,453149.34,720548.45,15.9,"2014","Mayo",2014-05-31
"283","Interbank (con sucursales en el exterior)",2597170.72,32106.7,137956.99,2767234.41,4488332.03,16.22,"2014","Mayo",2014-05-31
"284","Mibanco",427648.34,3788.11,23323.98,454760.43,751726.74,16.53,"2014","Mayo",2014-05-31
"285","B. GNB",359160.89,665.82,26993.01,386819.72,583041.28,15.07,"2014","Mayo",2014-05-31
"286","B. Falabella Perú ",268823.33,834.24,18998.69,288656.26,461682.82,15.99,"2014","Mayo",2014-05-31
"287","B. Santander Perú",255303.5,3171.64,9823.73,268298.87,462959.22,17.26,"2014","Mayo",2014-05-31
"288","B. Ripley",134490.74,1039.36,8484.63,144014.73,260299.45,18.07,"2014","Mayo",2014-05-31
"289","B. Azteca Perú",65687.41,150.07,16459.37,82296.85,110395.11,13.41,"2014","Mayo",2014-05-31
"290","Deutsche Bank Perú",38589.75,10264.44,5698.49,54552.68,170629.95,31.28,"2014","Mayo",2014-05-31
"291","B. Cencosud",40253.07,134.23,10096.82,50484.12,167160.62,33.11,"2014","Mayo",2014-05-31
"292","B. ICBC",4196.34,5037.64,81.31,9315.29,116987.36,125.59,"2014","Mayo",2014-05-31
"293"," TOTAL BANCA MÚLTIPLE",20967530.63,320496.08,1321883.74,22609910.45,32578192.7,14.4088,"2014","Mayo",2014-05-31
"294","B. Continental",4504953.49,77210.31,249986.48,4832150.28,6392085.63,13.23,"2014","Junio",2014-06-30
"295","B. de Comercio  ",153112.41,151.44,5911.78,159175.63,194265.41,12.2,"2014","Junio",2014-06-30
"296","B. de Crédito del Perú (con sucursales en el exterior)",7256393.82,92806.01,521639.13,7870838.96,11472158.39,14.58,"2014","Junio",2014-06-30
"297","B. Financiero",606241.64,7171.16,24723.37,638136.17,785742.54,12.31,"2014","Junio",2014-06-30
"298","B. Interamericano de Finanzas",801298.44,1015.51,47412.93,849726.88,1053223.31,12.39,"2014","Junio",2014-06-30
"299","Scotiabank Perú (con sucursales en el exterior)",3477479.61,39055.58,174800.05,3691335.24,4716584.44,12.78,"2014","Junio",2014-06-30
"300","Citibank",360923.06,49402.5,52148.62,462474.18,720847.41,15.59,"2014","Junio",2014-06-30
"301","Interbank (con sucursales en el exterior)",2660409.02,39764.44,139100.63,2839274.09,4491716.88,15.82,"2014","Junio",2014-06-30
"302","Mibanco",424497.91,3089.06,23363.63,450950.6,748112.85,16.59,"2014","Junio",2014-06-30
"303","B. GNB",364504.93,711.84,27150.87,392367.64,584787.73,14.9,"2014","Junio",2014-06-30
"304","B. Falabella Perú ",272040.11,1426.13,19314.45,292780.69,461904.65,15.78,"2014","Junio",2014-06-30
"305","B. Santander Perú",266084.04,663.82,10085.76,276833.62,458962.93,16.58,"2014","Junio",2014-06-30
"306","B. Ripley",132977.37,1212.98,8624.85,142815.2,259813.1,18.19,"2014","Junio",2014-06-30
"307","B. Azteca Perú",64423.9,214.14,16159.51,80797.55,115911.21,14.35,"2014","Junio",2014-06-30
"308","Deutsche Bank Perú",31051.41,10626.73,5458.6,47136.74,170629.95,36.2,"2014","Junio",2014-06-30
"309","B. Cencosud",41599.65,114.36,10428.5,52142.51,167012.49,32.03,"2014","Junio",2014-06-30
"310","B. ICBC",4244.63,5333.47,184.3,9762.4,116556.31,119.39,"2014","Junio",2014-06-30
"311"," TOTAL BANCA MÚLTIPLE",21422235.44,329969.48,1336493.46,23088698.38,32910315.23,14.2539,"2014","Junio",2014-06-30
"312","B. Continental",4546348.87,92671.36,315986.59,4955006.82,6394413.02,12.9,"2014","Julio",2014-07-31
"313","B. de Comercio  ",154771.63,119.06,7387.01,162277.7,196453.77,12.11,"2014","Julio",2014-07-31
"314","B. de Crédito del Perú (con sucursales en el exterior)",7515749.48,145771.86,661308.34,8322829.68,11357340.02,13.65,"2014","Julio",2014-07-31
"315","B. Financiero",604234.55,13822.4,31343.91,649400.86,790421.61,12.17,"2014","Julio",2014-07-31
"316","B. Interamericano de Finanzas",812073.29,742.91,60354.92,873171.12,1093979.2,12.53,"2014","Julio",2014-07-31
"317","Scotiabank Perú (con sucursales en el exterior)",3561776.65,33306.41,220619.36,3815702.42,5212984.06,13.66,"2014","Julio",2014-07-31
"318","Citibank",360278.72,14647.44,65859.71,440785.87,720564.16,16.35,"2014","Julio",2014-07-31
"319","Interbank (con sucursales en el exterior)",2688175.93,41904.48,173765.08,2903845.49,4492110.66,15.47,"2014","Julio",2014-07-31
"320","Mibanco",416876.58,3948.93,29250.1,450075.61,744920.68,16.55,"2014","Julio",2014-07-31
"321","B. GNB",349816.3,918.49,34195.7,384930.49,583058.67,15.15,"2014","Julio",2014-07-31
"322","B. Falabella Perú ",269080.97,1235.47,24578.89,294895.33,461275.21,15.64,"2014","Julio",2014-07-31
"323","B. Santander Perú",274453.58,6404.45,12804.21,293662.24,460007.47,15.66,"2014","Julio",2014-07-31
"324","B. Ripley",120211.58,1581.03,10930.1,132722.71,258250.29,19.46,"2014","Julio",2014-07-31
"325","B. Azteca Perú",63485.84,62.58,15887.1,79435.52,116470.79,14.66,"2014","Julio",2014-07-31
"326","Deutsche Bank Perú",27799.54,8695.75,6767.24,43262.53,170629.95,39.44,"2014","Julio",2014-07-31
"327","B. Cencosud",40166.68,69.22,10058.97,50294.87,166673.9,33.14,"2014","Julio",2014-07-31
"328","B. ICBC",4512.36,5199.95,272.49,9984.8,115311.16,115.49,"2014","Julio",2014-07-31
"329"," TOTAL BANCA MÚLTIPLE",21809812.55,371101.79,1681369.72,23862284.06,33334864.62,13.9697,"2014","Julio",2014-07-31
"330","B. Continental",4610255.01,105557.02,318565.89,5034377.92,6416998.42,12.75,"2014","Agosto",2014-08-31
"331","B. de Comercio  ",154988,150.54,7440.6,162579.14,196939.22,12.11,"2014","Agosto",2014-08-31
"332","B. de Crédito del Perú (con sucursales en el exterior)",7603491.91,143386.15,585426.94,8332305,11438339.46,13.73,"2014","Agosto",2014-08-31
"333","B. Financiero",612149.1,9523.69,31814.6,653487.39,801510.76,12.27,"2014","Agosto",2014-08-31
"334","B. Interamericano de Finanzas",816332.46,566.08,61362.71,878261.25,1108573.95,12.62,"2014","Agosto",2014-08-31
"335","Scotiabank Perú (con sucursales en el exterior)",3685010.3,33086.67,222150.29,3940247.26,5232755.93,13.28,"2014","Agosto",2014-08-31
"336","Citibank",351047.26,48471.16,66291.76,465810.18,720127.77,15.46,"2014","Agosto",2014-08-31
"337","Interbank (con sucursales en el exterior)",2749785.32,30938.08,175294.56,2956017.96,4696050.91,15.89,"2014","Agosto",2014-08-31
"338","Mibanco",414758.48,3501.24,29281.79,447541.51,737110.06,16.47,"2014","Agosto",2014-08-31
"339","B. GNB",356825.22,1029.8,34280.27,392135.29,585130.98,14.92,"2014","Agosto",2014-08-31
"340","B. Falabella Perú ",272060.86,874.19,24985.74,297920.79,461738.68,15.5,"2014","Agosto",2014-08-31
"341","B. Santander Perú",269174.44,5296.58,12997.18,287468.2,461022.6,16.04,"2014","Agosto",2014-08-31
"342","B. Ripley",119944.6,1705,11083,132732.6,258211.33,19.45,"2014","Agosto",2014-08-31
"343","B. Azteca Perú",62611.67,84.29,15673.99,78369.95,117923.08,15.05,"2014","Agosto",2014-08-31
"344","Deutsche Bank Perú",42729.72,9336.42,6881.96,58948.1,170629.95,28.95,"2014","Agosto",2014-08-31
"345","B. Cencosud",40986.09,156.79,10285.72,51428.6,163931.83,31.88,"2014","Agosto",2014-08-31
"346","B. ICBC",5350.31,5372.41,460.12,11182.84,115176.76,102.99,"2014","Agosto",2014-08-31
"347"," TOTAL BANCA MÚLTIPLE",22167500.75,399036.11,1614277.12,24180813.98,33682171.69,13.9293,"2014","Agosto",2014-08-31
