"","variable","Créditos Atrasados / Créditos Directos","Créditos Refinanciados y Reestructurados / Créditos Directos","Gastos de Operación / Margen Financiero Total","Periodo","mes","mes2"
"371","BCP",1.35,0.51,42.64,"2010","Diciembre","2010-12-31"
"372","B. Financiera",2.82,1.29,57.1,"2010","Diciembre","2010-12-31"
"373","BIF",0.76,1.39,55.98,"2010","Diciembre","2010-12-31"
"374","Scotiabank",1.51,1.59,39.72,"2010","Diciembre","2010-12-31"
"375","Citibank",2.69,3.76,59.14,"2010","Diciembre","2010-12-31"
"376","Interbank",1.52,0.75,46.43,"2010","Diciembre","2010-12-31"
"377","Mibanco",3.11,2.96,48.37,"2010","Diciembre","2010-12-31"
"378","GNB",2.21,0.33,103.94,"2010","Diciembre","2010-12-31"
"379","Falabella",3.13,3.13,43.9,"2010","Diciembre","2010-12-31"
"380","Santander",0.23,0,69.3,"2010","Diciembre","2010-12-31"
"381","Ripley",3.84,1.85,55.78,"2010","Diciembre","2010-12-31"
"382","Azteca",9.53,0,61.16,"2010","Diciembre","2010-12-31"
"383","Deutsche",0,0,56.03,"2010","Diciembre","2010-12-31"
"384","Total Banca",1.49,1.09,44.18,"2010","Diciembre","2010-12-31"
"385","BBVA",1.14,1.23,40.73,"2011","Enero","2011-01-31"
"386","B. del Comercio",1.95,1.55,64.44,"2011","Enero","2011-01-31"
"387","BCP",1.41,0.51,44.33,"2011","Enero","2011-01-31"
"388","B. Financiera",2.85,1.17,60,"2011","Enero","2011-01-31"
"389","BIF",0.79,1.41,58,"2011","Enero","2011-01-31"
"390","Scotiabank",1.51,1.55,36.47,"2011","Enero","2011-01-31"
"391","Citibank",2.48,3.29,65.31,"2011","Enero","2011-01-31"
"392","Interbank",1.65,0.73,46.25,"2011","Enero","2011-01-31"
"393","Mibanco",3.13,2.96,45.56,"2011","Enero","2011-01-31"
"394","GNB",2.31,0.33,85.98,"2011","Enero","2011-01-31"
"395","Falabella",2.78,3.05,47.67,"2011","Enero","2011-01-31"
"396","Santander",0.23,0,56.36,"2011","Enero","2011-01-31"
"397","Ripley",3.9,1.92,56.64,"2011","Enero","2011-01-31"
"398","Azteca",9.01,0,63.6,"2011","Enero","2011-01-31"
"399","Deutsche",0,0,30.51,"2011","Enero","2011-01-31"
"400","Total Banca",1.55,1.07,45.37,"2011","Enero","2011-01-31"
"401","BBVA",1.16,1.24,41.35,"2011","Febrero","2011-02-28"
"402","B. del Comercio",2.09,1.42,61.89,"2011","Febrero","2011-02-28"
"403","BCP",1.39,0.51,48.61,"2011","Febrero","2011-02-28"
"404","B. Financiera",2.78,1.15,61.27,"2011","Febrero","2011-02-28"
"405","BIF",0.74,1.41,60.98,"2011","Febrero","2011-02-28"
"406","Scotiabank",1.47,1.54,40.3,"2011","Febrero","2011-02-28"
"407","Citibank",2.41,2.98,68.93,"2011","Febrero","2011-02-28"
"408","Interbank",1.53,0.73,46.25,"2011","Febrero","2011-02-28"
"409","Mibanco",3.21,2.98,47.84,"2011","Febrero","2011-02-28"
"410","GNB",2.67,0.46,95.44,"2011","Febrero","2011-02-28"
"411","Falabella",2.39,3,49.46,"2011","Febrero","2011-02-28"
"412","Santander",0.22,0,59.91,"2011","Febrero","2011-02-28"
"413","Ripley",3.67,1.92,51.39,"2011","Febrero","2011-02-28"
"414","Azteca",8.97,0,66.12,"2011","Febrero","2011-02-28"
"415","Deutsche",0,0,86.44,"2011","Febrero","2011-02-28"
"416","Total Banca",1.53,1.07,47.91,"2011","Febrero","2011-02-28"
"417","BBVA",1.1,1.24,38.79,"2011","Marzo","2011-03-31"
"418","B. del Comercio",1.97,1.53,64.15,"2011","Marzo","2011-03-31"
"419","BCP",1.45,0.52,46.49,"2011","Marzo","2011-03-31"
"420","B. Financiera",2.78,1.13,59.58,"2011","Marzo","2011-03-31"
"421","BIF",0.81,1.32,59.34,"2011","Marzo","2011-03-31"
"422","Scotiabank",1.43,1.48,39.72,"2011","Marzo","2011-03-31"
"423","Citibank",2.25,2.9,64.75,"2011","Marzo","2011-03-31"
"424","Interbank",1.5,0.7,46.5,"2011","Marzo","2011-03-31"
"425","Mibanco",3.11,2.97,48.04,"2011","Marzo","2011-03-31"
"426","GNB",2.25,0.57,98.21,"2011","Marzo","2011-03-31"
"427","Falabella",2.45,2.81,49.5,"2011","Marzo","2011-03-31"
"428","Santander",0.2,0,56.28,"2011","Marzo","2011-03-31"
"429","Ripley",3.79,1.99,50.05,"2011","Marzo","2011-03-31"
"430","Azteca",8.54,0,66.16,"2011","Marzo","2011-03-31"
"431","Deutsche",0,0,96.39,"2011","Marzo","2011-03-31"
"432","Total Banca",1.51,1.06,46.61,"2011","Marzo","2011-03-31"
"433","BBVA",1.12,1.22,38.44,"2011","Abril","2011-04-30"
"434","B. del Comercio",1.45,1.52,65.6,"2011","Abril","2011-04-30"
"435","BCP",1.37,0.51,47.54,"2011","Abril","2011-04-30"
"436","B. Financiera",2.62,1.14,60.56,"2011","Abril","2011-04-30"
"437","BIF",0.82,1.34,58.57,"2011","Abril","2011-04-30"
"438","Scotiabank",1.51,1.38,39.66,"2011","Abril","2011-04-30"
"439","Citibank",1.76,2.3,63.58,"2011","Abril","2011-04-30"
"440","Interbank",1.55,0.68,46.81,"2011","Abril","2011-04-30"
"441","Mibanco",3.16,2.98,48.29,"2011","Abril","2011-04-30"
"442","GNB",3.65,0.55,106.84,"2011","Abril","2011-04-30"
"443","Falabella",2.29,2.69,49.32,"2011","Abril","2011-04-30"
"444","Santander",0.19,0,58.24,"2011","Abril","2011-04-30"
"445","Ripley",4.16,1.93,50.9,"2011","Abril","2011-04-30"
"446","Azteca",8.41,0,66.32,"2011","Abril","2011-04-30"
"447","Deutsche",0,0,100.91,"2011","Abril","2011-04-30"
"448","Total Banca",1.51,1.03,47.08,"2011","Abril","2011-04-30"
"449","BBVA",1.13,1.16,37.82,"2011","Mayo","2011-05-31"
"450","B. del Comercio",1.62,1.61,65.51,"2011","Mayo","2011-05-31"
"451","BCP",1.38,0.49,47.65,"2011","Mayo","2011-05-31"
"452","B. Financiera",2.66,1.11,60.29,"2011","Mayo","2011-05-31"
"453","BIF",0.9,1.22,57.8,"2011","Mayo","2011-05-31"
"454","Scotiabank",1.45,1.39,39.97,"2011","Mayo","2011-05-31"
"455","Citibank",2.2,2.49,67.77,"2011","Mayo","2011-05-31"
"456","Interbank",1.55,0.66,46.27,"2011","Mayo","2011-05-31"
"457","Mibanco",3.1,3.02,48.74,"2011","Mayo","2011-05-31"
"458","GNB",3.43,0.2,114.53,"2011","Mayo","2011-05-31"
"459","Falabella",2.37,2.58,48.65,"2011","Mayo","2011-05-31"
"460","Santander",0.18,0,56.78,"2011","Mayo","2011-05-31"
"461","Ripley",4.39,1.87,50.68,"2011","Mayo","2011-05-31"
"462","Azteca",8.07,0,65.94,"2011","Mayo","2011-05-31"
"463","Deutsche",0,0,123.66,"2011","Mayo","2011-05-31"
"464","Total Banca",1.51,0.99,47.14,"2011","Mayo","2011-05-31"
"465","BBVA",1.04,1.16,37.1,"2011","Junio","2011-06-30"
"466","B. del Comercio",1.59,2.45,66.04,"2011","Junio","2011-06-30"
"467","BCP",1.42,0.49,47.98,"2011","Junio","2011-06-30"
"468","B. Financiera",2.57,1.11,60.87,"2011","Junio","2011-06-30"
"469","BIF",0.85,1.15,57.57,"2011","Junio","2011-06-30"
"470","Scotiabank",1.5,1.41,40.12,"2011","Junio","2011-06-30"
"471","Citibank",2.13,2.73,66.14,"2011","Junio","2011-06-30"
"472","Interbank",1.55,0.64,46.1,"2011","Junio","2011-06-30"
"473","Mibanco",3.13,3.01,49.45,"2011","Junio","2011-06-30"
"474","GNB",3.37,0.32,116.96,"2011","Junio","2011-06-30"
"475","Falabella",2.3,2.55,48.34,"2011","Junio","2011-06-30"
"476","Santander",0.18,0,58.26,"2011","Junio","2011-06-30"
"477","Ripley",4.27,1.76,50.93,"2011","Junio","2011-06-30"
"478","Azteca",7.75,0,61.33,"2011","Junio","2011-06-30"
"479","Deutsche",0,0,59.41,"2011","Junio","2011-06-30"
"480","Total Banca",1.51,1,47.04,"2011","Junio","2011-06-30"
"481","BBVA",1.05,1.13,36.89,"2011","Julio","2011-07-31"
"482","B. del Comercio",1.89,1.48,66.28,"2011","Julio","2011-07-31"
"483","BCP",1.43,0.51,47.61,"2011","Julio","2011-07-31"
"484","B. Financiera",2.54,1.04,60.71,"2011","Julio","2011-07-31"
"485","BIF",0.84,1.13,57.94,"2011","Julio","2011-07-31"
"486","Scotiabank",1.51,1.34,40.17,"2011","Julio","2011-07-31"
"487","Citibank",2.16,2.48,67.02,"2011","Julio","2011-07-31"
"488","Interbank",1.65,0.61,46,"2011","Julio","2011-07-31"
"489","Mibanco",3.48,2.95,49.73,"2011","Julio","2011-07-31"
"490","GNB",3.33,0.3,114.71,"2011","Julio","2011-07-31"
"491","Falabella",2.35,2.56,48.33,"2011","Julio","2011-07-31"
"492","Santander",0.17,0,55.46,"2011","Julio","2011-07-31"
"493","Ripley",4.3,1.73,50.68,"2011","Julio","2011-07-31"
"494","Azteca",7.66,0,61,"2011","Julio","2011-07-31"
"495","Deutsche",0,0,60.45,"2011","Julio","2011-07-31"
"496","Total Banca",1.54,0.97,46.88,"2011","Julio","2011-07-31"
"497","BBVA",1.13,1.09,36.54,"2011","Agosto","2011-08-31"
"498","B. del Comercio",1.91,2.72,65.01,"2011","Agosto","2011-08-31"
"499","BCP",1.46,0.52,47.11,"2011","Agosto","2011-08-31"
"500","B. Financiera",2.55,1.04,60.59,"2011","Agosto","2011-08-31"
"501","BIF",0.88,1.11,57.63,"2011","Agosto","2011-08-31"
"502","Scotiabank",1.53,1.34,40.73,"2011","Agosto","2011-08-31"
"503","Citibank",2.08,2.47,67.01,"2011","Agosto","2011-08-31"
"504","Interbank",1.63,0.61,45.85,"2011","Agosto","2011-08-31"
"505","Mibanco",3.61,2.94,50,"2011","Agosto","2011-08-31"
"506","GNB",2.8,0.3,116.75,"2011","Agosto","2011-08-31"
"507","Falabella",2.4,2.57,48.17,"2011","Agosto","2011-08-31"
"508","Santander",0.18,0,53.73,"2011","Agosto","2011-08-31"
"509","Ripley",4.3,1.8,50.71,"2011","Agosto","2011-08-31"
"510","Azteca",7.52,0,60.1,"2011","Agosto","2011-08-31"
"511","Deutsche",0,0,52.74,"2011","Agosto","2011-08-31"
"512","Total Banca",1.57,0.98,46.73,"2011","Agosto","2011-08-31"
"513","BBVA",1.05,1.12,36.73,"2011","Septiembre","2011-09-30"
"514","B. del Comercio",2.1,2.72,64.11,"2011","Septiembre","2011-09-30"
"515","BCP",1.46,0.54,47.04,"2011","Septiembre","2011-09-30"
"516","B. Financiera",2.38,1.03,60.95,"2011","Septiembre","2011-09-30"
"517","BIF",0.91,1.11,55.94,"2011","Septiembre","2011-09-30"
"518","Scotiabank",1.48,1.34,40.97,"2011","Septiembre","2011-09-30"
"519","Citibank",1.91,2.33,66.71,"2011","Septiembre","2011-09-30"
"520","Interbank",1.57,0.61,45.23,"2011","Septiembre","2011-09-30"
"521","Mibanco",3.65,2.95,50.56,"2011","Septiembre","2011-09-30"
"522","GNB",3.2,0.41,117.58,"2011","Septiembre","2011-09-30"
"523","Falabella",2.56,2.63,48.16,"2011","Septiembre","2011-09-30"
"524","Santander",0.16,0,52.13,"2011","Septiembre","2011-09-30"
"525","Ripley",4.52,1.84,50.85,"2011","Septiembre","2011-09-30"
"526","Azteca",7.42,0,59.72,"2011","Septiembre","2011-09-30"
"527","Deutsche",0,0,44.93,"2011","Septiembre","2011-09-30"
"528","Total Banca",1.54,0.99,46.68,"2011","Septiembre","2011-09-30"
"529","BBVA",1.08,1.07,37,"2011","Octubre","2011-10-31"
"530","B. del Comercio",1.68,2.94,64.62,"2011","Octubre","2011-10-31"
"531","BCP",1.5,0.56,47.19,"2011","Octubre","2011-10-31"
"532","B. Financiera",2.3,0.95,61.54,"2011","Octubre","2011-10-31"
"533","BIF",0.95,1.07,55.94,"2011","Octubre","2011-10-31"
"534","Scotiabank",1.53,1.3,40.67,"2011","Octubre","2011-10-31"
"535","Citibank",1.89,2.29,67.85,"2011","Octubre","2011-10-31"
"536","Interbank",1.6,0.66,45.2,"2011","Octubre","2011-10-31"
"537","Mibanco",3.71,2.92,51.21,"2011","Octubre","2011-10-31"
"538","GNB",2.93,0.45,115.39,"2011","Octubre","2011-10-31"
"539","Falabella",2.68,2.69,48.26,"2011","Octubre","2011-10-31"
"540","Santander",0.15,0,52.44,"2011","Octubre","2011-10-31"
"541","Ripley",4.72,1.81,50.91,"2011","Octubre","2011-10-31"
"542","Azteca",7.33,0,59.15,"2011","Octubre","2011-10-31"
"543","Deutsche",0,0,55.16,"2011","Octubre","2011-10-31"
"544","Total Banca",1.57,0.99,46.8,"2011","Octubre","2011-10-31"
"545","BBVA",1.03,1.15,36.65,"2011","Noviembre","2011-11-30"
"546","B. del Comercio",1.59,3.08,64.93,"2011","Noviembre","2011-11-30"
"547","BCP",1.46,0.55,47.29,"2011","Noviembre","2011-11-30"
"548","B. Financiera",2.27,0.95,62.23,"2011","Noviembre","2011-11-30"
"549","BIF",0.89,1.15,56.12,"2011","Noviembre","2011-11-30"
"550","Scotiabank",1.46,1.27,40.63,"2011","Noviembre","2011-11-30"
"551","Citibank",1.9,2.25,67.77,"2011","Noviembre","2011-11-30"
"552","Interbank",1.66,0.66,45.44,"2011","Noviembre","2011-11-30"
"553","Mibanco",3.7,2.91,51.89,"2011","Noviembre","2011-11-30"
"554","GNB",2.09,0.48,115.61,"2011","Noviembre","2011-11-30"
"555","Falabella",2.92,2.68,48.25,"2011","Noviembre","2011-11-30"
"556","Santander",0.14,0,51.91,"2011","Noviembre","2011-11-30"
"557","Ripley",4.87,1.73,51.32,"2011","Noviembre","2011-11-30"
"558","Azteca",7.29,0,59.13,"2011","Noviembre","2011-11-30"
"559","Deutsche",0,0,43.96,"2011","Noviembre","2011-11-30"
"560","Total Banca",1.52,1,46.82,"2011","Noviembre","2011-11-30"
"561","BBVA",0.92,1.2,36.94,"2011","Diciembre","2011-12-31"
"562","B. del Comercio",1.58,3.04,63.93,"2011","Diciembre","2011-12-31"
"563","BCP",1.42,0.56,47.86,"2011","Diciembre","2011-12-31"
"564","B. Financiera",2.14,0.95,63,"2011","Diciembre","2011-12-31"
"565","BIF",0.9,1.28,56.06,"2011","Diciembre","2011-12-31"
"566","Scotiabank",1.48,1.19,39.97,"2011","Diciembre","2011-12-31"
"567","Citibank",1.79,2.09,67.59,"2011","Diciembre","2011-12-31"
"568","Interbank",1.5,0.6,45.72,"2011","Diciembre","2011-12-31"
"569","Mibanco",3.66,2.92,52.74,"2011","Diciembre","2011-12-31"
"570","GNB",2.56,0.47,113.62,"2011","Diciembre","2011-12-31"
"571","Falabella",3.01,2.59,48.16,"2011","Diciembre","2011-12-31"
"572","Santander",0.13,0,52.71,"2011","Diciembre","2011-12-31"
"573","Ripley",5.13,1.73,52.62,"2011","Diciembre","2011-12-31"
"574","Azteca",6.89,0,59.94,"2011","Diciembre","2011-12-31"
"575","Deutsche",0,0,48.17,"2011","Diciembre","2011-12-31"
"576","Total Banca",1.47,1,47.05,"2011","Diciembre","2011-12-31"
"577","BBVA",1.03,1.17,35.38,"2012","Enero","2012-01-31"
"578","B. del Comercio",1.82,2.92,60.59,"2012","Enero","2012-01-31"
"579","BCP",1.46,0.56,43.6,"2012","Enero","2012-01-31"
"580","B. Financiera",2.18,0.88,57.55,"2012","Enero","2012-01-31"
"581","BIF",1.07,1.25,61.68,"2012","Enero","2012-01-31"
"582","Scotiabank",1.47,1.03,37.66,"2012","Enero","2012-01-31"
"583","Citibank",1.88,2.02,48.11,"2012","Enero","2012-01-31"
"584","Interbank",1.65,0.62,46.82,"2012","Enero","2012-01-31"
"585","Mibanco",3.82,2.95,57.04,"2012","Enero","2012-01-31"
"586","GNB",2.14,0.5,85.7,"2012","Enero","2012-01-31"
"587","Falabella",3.12,2.64,47.76,"2012","Enero","2012-01-31"
"588","Santander",0.13,0,40.53,"2012","Enero","2012-01-31"
"589","Ripley",4.75,1.85,63.56,"2012","Enero","2012-01-31"
"590","Azteca",7.21,0,48.65,"2012","Enero","2012-01-31"
"591","Deutsche",0,0,24.15,"2012","Enero","2012-01-31"
"592","Total Banca",1.54,0.96,44.42,"2012","Enero","2012-01-31"
"593","BBVA",1.16,1.11,37.07,"2012","Febrero","2012-02-28"
"594","B. del Comercio",1.94,2.96,64.51,"2012","Febrero","2012-02-28"
"595","BCP",1.52,0.57,45.18,"2012","Febrero","2012-02-28"
"596","B. Financiera",2.2,0.88,59.18,"2012","Febrero","2012-02-28"
"597","BIF",1,1.23,61.87,"2012","Febrero","2012-02-28"
"598","Scotiabank",1.5,1.03,39.63,"2012","Febrero","2012-02-28"
"599","Citibank",1.88,2,57.46,"2012","Febrero","2012-02-28"
"600","Interbank",1.71,0.62,46.7,"2012","Febrero","2012-02-28"
"601","Mibanco",3.9,2.94,57.88,"2012","Febrero","2012-02-28"
"602","GNB",1.87,0.46,86.46,"2012","Febrero","2012-02-28"
"603","Falabella",3.07,2.65,47.81,"2012","Febrero","2012-02-28"
"604","Santander",0.13,0,42.7,"2012","Febrero","2012-02-28"
"605","Ripley",4.73,1.93,56.91,"2012","Febrero","2012-02-28"
"606","Azteca",7.27,0,56.59,"2012","Febrero","2012-02-28"
"607","Deutsche",0,0,31.82,"2012","Febrero","2012-02-28"
"608","Total Banca",1.6,0.95,45.92,"2012","Febrero","2012-02-28"
"609","BBVA",1.11,1.12,35.79,"2012","Marzo","2012-03-31"
"610","B. del Comercio",1.3,3.12,64.29,"2012","Marzo","2012-03-31"
"611","BCP",1.59,0.57,44.7,"2012","Marzo","2012-03-31"
"612","B. Financiera",2.17,0.86,60.3,"2012","Marzo","2012-03-31"
"613","BIF",1.02,1.08,61.24,"2012","Marzo","2012-03-31"
"614","Scotiabank",1.59,1.03,39.26,"2012","Marzo","2012-03-31"
"615","Citibank",1.92,2.02,57.74,"2012","Marzo","2012-03-31"
"616","Interbank",1.7,0.61,45.26,"2012","Marzo","2012-03-31"
"617","Mibanco",3.9,2.96,57.51,"2012","Marzo","2012-03-31"
"618","GNB",1.96,0.49,91.86,"2012","Marzo","2012-03-31"
"619","Falabella",3.44,2.59,48.01,"2012","Marzo","2012-03-31"
"620","Santander",0.13,0,42.63,"2012","Marzo","2012-03-31"
"621","Ripley",5.22,2.15,56.87,"2012","Marzo","2012-03-31"
"622","Azteca",7.11,0,57.85,"2012","Marzo","2012-03-31"
"623","Deutsche",0,0,45.18,"2012","Marzo","2012-03-31"
"624","Total Banca",1.62,0.95,45.38,"2012","Marzo","2012-03-31"
"625","BBVA",1.25,1.08,35.54,"2012","Abril","2012-04-30"
"626","B. del Comercio",1.5,3.13,63.63,"2012","Abril","2012-04-30"
"627","BCP",1.64,0.59,44.89,"2012","Abril","2012-04-30"
"628","B. Financiera",2.27,0.87,61.49,"2012","Abril","2012-04-30"
"629","BIF",1.08,1.07,61.1,"2012","Abril","2012-04-30"
"630","Scotiabank",1.62,0.96,39.61,"2012","Abril","2012-04-30"
"631","Citibank",1.89,1.9,59.26,"2012","Abril","2012-04-30"
"632","Interbank",1.78,0.59,44.38,"2012","Abril","2012-04-30"
"633","Mibanco",4.15,2.92,59.54,"2012","Abril","2012-04-30"
"634","GNB",2.19,0.5,95.3,"2012","Abril","2012-04-30"
"635","Falabella",3.37,2.51,48.39,"2012","Abril","2012-04-30"
"636","Santander",0.14,0.46,43.22,"2012","Abril","2012-04-30"
"637","Ripley",5.1,2.32,56.03,"2012","Abril","2012-04-30"
"638","Azteca",7.07,0,58.72,"2012","Abril","2012-04-30"
"639","Deutsche",0,0,49.97,"2012","Abril","2012-04-30"
"640","Total Banca",1.71,0.94,45.54,"2012","Abril","2012-04-30"
"641","BBVA",1.23,1.08,35.72,"2012","Mayo","2012-05-31"
"642","B. del Comercio",1.97,2.85,64.06,"2012","Mayo","2012-05-31"
"643","BCP",1.65,0.61,45.16,"2012","Mayo","2012-05-31"
"644","B. Financiera",2.25,0.85,61.74,"2012","Mayo","2012-05-31"
"645","BIF",0.89,1.05,60.78,"2012","Mayo","2012-05-31"
"646","Scotiabank",1.67,0.95,39.32,"2012","Mayo","2012-05-31"
"647","Citibank",1.97,1.89,60.2,"2012","Mayo","2012-05-31"
"648","Interbank",1.89,0.59,44.88,"2012","Mayo","2012-05-31"
"649","Mibanco",4.1,2.91,60.12,"2012","Mayo","2012-05-31"
"650","GNB",2.16,0.5,93.3,"2012","Mayo","2012-05-31"
"651","Falabella",3.3,2.39,48.5,"2012","Mayo","2012-05-31"
"652","Santander",0.12,0.44,43.24,"2012","Mayo","2012-05-31"
"653","Ripley",5.16,2.38,55.73,"2012","Mayo","2012-05-31"
"654","Azteca",6.82,0,60.15,"2012","Mayo","2012-05-31"
"655","Deutsche",0,0,38.89,"2012","Mayo","2012-05-31"
"656","Total Banca",1.72,0.94,45.72,"2012","Mayo","2012-05-31"
"657","BBVA",1.2,1.13,35.79,"2012","Junio","2012-06-30"
"658","B. del Comercio",1.93,2.99,62.22,"2012","Junio","2012-06-30"
"659","BCP",1.69,0.62,45.97,"2012","Junio","2012-06-30"
"660","B. Financiera",2.24,0.94,62.72,"2012","Junio","2012-06-30"
"661","BIF",0.87,1.01,60.35,"2012","Junio","2012-06-30"
"662","Scotiabank",1.68,0.9,39.19,"2012","Junio","2012-06-30"
"663","Citibank",2.06,1.85,60.15,"2012","Junio","2012-06-30"
"664","Interbank",1.82,0.59,45.3,"2012","Junio","2012-06-30"
"665","Mibanco",4.35,2.87,60.62,"2012","Junio","2012-06-30"
"666","GNB",1.99,0.55,91.42,"2012","Junio","2012-06-30"
"667","Falabella",3.19,2.28,47.66,"2012","Junio","2012-06-30"
"668","Santander",0.13,0.4,44.25,"2012","Junio","2012-06-30"
"669","Ripley",4.99,2.42,56.4,"2012","Junio","2012-06-30"
"670","Azteca",6.77,0,58.66,"2012","Junio","2012-06-30"
"671","Deutsche",0,0,41.77,"2012","Junio","2012-06-30"
"672","Total Banca",1.73,0.95,46.02,"2012","Junio","2012-06-30"
"673","BBVA",1.16,1.17,36.04,"2012","Julio","2012-07-31"
"674","B. del Comercio",2.34,3.39,63.55,"2012","Julio","2012-07-31"
"675","BCP",1.69,0.67,46,"2012","Julio","2012-07-31"
"676","B. Financiera",2.04,1.18,63.43,"2012","Julio","2012-07-31"
"677","BIF",1.01,1.08,59.95,"2012","Julio","2012-07-31"
"678","Scotiabank",1.63,0.87,39.44,"2012","Julio","2012-07-31"
"679","Citibank",2.04,1.73,59.43,"2012","Julio","2012-07-31"
"680","Interbank",1.82,0.6,45.2,"2012","Julio","2012-07-31"
"681","Mibanco",4.51,2.88,60.5,"2012","Julio","2012-07-31"
"682","GNB",2.27,0.54,91.54,"2012","Julio","2012-07-31"
"683","Falabella",3.04,2.3,48.05,"2012","Julio","2012-07-31"
"684","Santander",0.26,0.38,45.02,"2012","Julio","2012-07-31"
"685","Ripley",4.82,2.61,55.67,"2012","Julio","2012-07-31"
"686","Azteca",6.67,0,58.2,"2012","Julio","2012-07-31"
"687","Deutsche",0,0,36.16,"2012","Julio","2012-07-31"
"688","Total Banca",1.72,0.98,46.08,"2012","Julio","2012-07-31"
"689","BBVA",1.24,1.21,35.8,"2012","Agosto","2012-08-31"
"690","B. del Comercio",2.37,3.3,63.06,"2012","Agosto","2012-08-31"
"691","BCP",1.72,0.69,45.88,"2012","Agosto","2012-08-31"
"692","B. Financiera",1.9,1.21,63.38,"2012","Agosto","2012-08-31"
"693","BIF",0.98,0.86,59.56,"2012","Agosto","2012-08-31"
"694","Scotiabank",1.66,0.86,39.59,"2012","Agosto","2012-08-31"
"695","Citibank",1.93,1.64,60.26,"2012","Agosto","2012-08-31"
"696","Interbank",1.8,0.61,45.42,"2012","Agosto","2012-08-31"
"697","Mibanco",4.64,2.86,60.12,"2012","Agosto","2012-08-31"
"698","GNB",2.52,0.48,88.61,"2012","Agosto","2012-08-31"
"699","Falabella",2.97,2.28,48.24,"2012","Agosto","2012-08-31"
"700","Santander",0.33,0.36,44.73,"2012","Agosto","2012-08-31"
"701","Ripley",4.99,2.69,54.93,"2012","Agosto","2012-08-31"
"702","Azteca",6.77,0,59.61,"2012","Agosto","2012-08-31"
"703","Deutsche",0,0,39.87,"2012","Agosto","2012-08-31"
"704","Cencosud",0,0,2367.12,"2012","Agosto","2012-08-31"
"705","Total Banca",1.75,0.98,46.14,"2012","Agosto","2012-08-31"
"706","BBVA",1.19,1.24,35.74,"2012","Septiembre","2012-09-30"
"707","B. del Comercio",1.94,2.46,62.3,"2012","Septiembre","2012-09-30"
"708","BCP",1.67,0.69,46.21,"2012","Septiembre","2012-09-30"
"709","B. Financiera",1.92,1.21,62.55,"2012","Septiembre","2012-09-30"
"710","BIF",1.09,0.75,58.9,"2012","Septiembre","2012-09-30"
"711","Scotiabank",1.63,0.87,40.1,"2012","Septiembre","2012-09-30"
"712","Citibank",2.02,1.68,60.75,"2012","Septiembre","2012-09-30"
"713","Interbank",1.83,0.63,45.55,"2012","Septiembre","2012-09-30"
"714","Mibanco",4.59,2.86,60,"2012","Septiembre","2012-09-30"
"715","GNB",2.47,0.56,87.27,"2012","Septiembre","2012-09-30"
"716","Falabella",3.02,2.26,48.34,"2012","Septiembre","2012-09-30"
"717","Santander",0.4,0.31,44.46,"2012","Septiembre","2012-09-30"
"718","Ripley",5.09,2.8,54.57,"2012","Septiembre","2012-09-30"
"719","Azteca",6.85,0,61.3,"2012","Septiembre","2012-09-30"
"720","Deutsche",0,0,38.23,"2012","Septiembre","2012-09-30"
"721","Cencosud",0,0,2773.02,"2012","Septiembre","2012-09-30"
"722","Total Banca",1.72,0.98,46.33,"2012","Septiembre","2012-09-30"
"723","BBVA",1.24,1.26,35.58,"2012","Octubre","2012-10-31"
"724","B. del Comercio",2,2.32,61.99,"2012","Octubre","2012-10-31"
"725","BCP",1.78,0.69,46.47,"2012","Octubre","2012-10-31"
"726","B. Financiera",1.91,1.18,62.64,"2012","Octubre","2012-10-31"
"727","BIF",1.05,0.79,57.98,"2012","Octubre","2012-10-31"
"728","Scotiabank",1.73,0.85,39.94,"2012","Octubre","2012-10-31"
"729","Citibank",2.04,1.62,61.12,"2012","Octubre","2012-10-31"
"730","Interbank",1.84,0.66,45.62,"2012","Octubre","2012-10-31"
"731","Mibanco",4.55,2.83,59.62,"2012","Octubre","2012-10-31"
"732","GNB",2.79,0.61,85.89,"2012","Octubre","2012-10-31"
"733","Falabella",3.16,2.26,48.24,"2012","Octubre","2012-10-31"
"734","Santander",0.38,0.3,44.41,"2012","Octubre","2012-10-31"
"735","Ripley",5.3,2.77,54.33,"2012","Octubre","2012-10-31"
"736","Azteca",6.91,0,61.37,"2012","Octubre","2012-10-31"
"737","Deutsche",0,0,37.74,"2012","Octubre","2012-10-31"
"738","Cencosud",0,0,2576.22,"2012","Octubre","2012-10-31"
"739","Total Banca",1.79,0.99,46.33,"2012","Octubre","2012-10-31"
"740","BBVA",1.27,1.29,35.71,"2012","Noviembre","2012-11-30"
"741","B. del Comercio",2.26,2.26,61.17,"2012","Noviembre","2012-11-30"
"742","BCP",1.78,0.7,46.58,"2012","Noviembre","2012-11-30"
"743","B. Financiera",1.91,1.13,62.86,"2012","Noviembre","2012-11-30"
"744","BIF",0.9,0.83,57.47,"2012","Noviembre","2012-11-30"
"745","Scotiabank",1.73,0.86,39.89,"2012","Noviembre","2012-11-30"
"746","Citibank",1.92,1.58,61.56,"2012","Noviembre","2012-11-30"
"747","Interbank",1.77,0.66,45.97,"2012","Noviembre","2012-11-30"
"748","Mibanco",4.4,2.85,59.54,"2012","Noviembre","2012-11-30"
"749","GNB",2.64,0.61,85.62,"2012","Noviembre","2012-11-30"
