"","variables","R. Cr�dito","R. Mercado","R. Operacional","Total","Patrimonio Efectivo","R. Capital Global","Periodo","Mes","Fecha"
"998","B. GNB",349816.3,918.49,34195.7,384930.49,583058.67,15.15,"2014","Julio",2014-07-31
"999","B. Falabella Perú ",269080.97,1235.47,24578.89,294895.33,461275.21,15.64,"2014","Julio",2014-07-31
"1000","B. Santander Perú",274453.58,6404.45,12804.21,293662.24,460007.47,15.66,"2014","Julio",2014-07-31
"10011","B. Ripley",120211.58,1581.03,10930.1,132722.71,258250.29,19.46,"2014","Julio",2014-07-31
"10021","B. Azteca Perú",63485.84,62.58,15887.1,79435.52,116470.79,14.66,"2014","Julio",2014-07-31
"10031","Deutsche Bank Perú",27799.54,8695.75,6767.24,43262.53,170629.95,39.44,"2014","Julio",2014-07-31
"1004","B. Cencosud",40166.68,69.22,10058.97,50294.87,166673.9,33.14,"2014","Julio",2014-07-31
"1005","B. ICBC",4512.36,5199.95,272.49,9984.8,115311.16,115.49,"2014","Julio",2014-07-31
"1006"," TOTAL BANCA MÚLTIPLE",21809812.55,371101.79,1681369.72,23862284.06,33334864.62,13.9697,"2014","Julio",2014-07-31
"1007","B. Continental",4610255.01,105557.02,318565.89,5034377.92,6416998.42,12.75,"2014","Agosto",2014-08-31
"1008","B. de Comercio  ",154988,150.54,7440.6,162579.14,196939.22,12.11,"2014","Agosto",2014-08-31
"1009","B. de Crédito del Perú (con sucursales en el exterior)",7603491.91,143386.15,585426.94,8332305,11438339.46,13.73,"2014","Agosto",2014-08-31
"10104","B. Financiero",612149.1,9523.69,31814.6,653487.39,801510.76,12.27,"2014","Agosto",2014-08-31
"10114","B. Interamericano de Finanzas",816332.46,566.08,61362.71,878261.25,1108573.95,12.62,"2014","Agosto",2014-08-31
"10124","Scotiabank Perú (con sucursales en el exterior)",3685010.3,33086.67,222150.29,3940247.26,5232755.93,13.28,"2014","Agosto",2014-08-31
"10134","Citibank",351047.26,48471.16,66291.76,465810.18,720127.77,15.46,"2014","Agosto",2014-08-31
"10141","Interbank (con sucursales en el exterior)",2749785.32,30938.08,175294.56,2956017.96,4696050.91,15.89,"2014","Agosto",2014-08-31
"10151","Mibanco",414758.48,3501.24,29281.79,447541.51,737110.06,16.47,"2014","Agosto",2014-08-31
"10161","B. GNB",356825.22,1029.8,34280.27,392135.29,585130.98,14.92,"2014","Agosto",2014-08-31
"10171","B. Falabella Perú ",272060.86,874.19,24985.74,297920.79,461738.68,15.5,"2014","Agosto",2014-08-31
"10181","B. Santander Perú",269174.44,5296.58,12997.18,287468.2,461022.6,16.04,"2014","Agosto",2014-08-31
"10191","B. Ripley",119944.6,1705,11083,132732.6,258211.33,19.45,"2014","Agosto",2014-08-31
"10201","B. Azteca Perú",62611.67,84.29,15673.99,78369.95,117923.08,15.05,"2014","Agosto",2014-08-31
"10211","Deutsche Bank Perú",42729.72,9336.42,6881.96,58948.1,170629.95,28.95,"2014","Agosto",2014-08-31
"10221","B. Cencosud",40986.09,156.79,10285.72,51428.6,163931.83,31.88,"2014","Agosto",2014-08-31
"10231","B. ICBC",5350.31,5372.41,460.12,11182.84,115176.76,102.99,"2014","Agosto",2014-08-31
"10241"," TOTAL BANCA MÚLTIPLE",22167500.75,399036.11,1614277.12,24180813.98,33682171.69,13.9293,"2014","Agosto",2014-08-31
